_id	parent_id	name	sort_id	c_dtm
1	106	となりの関くん	0	2016/10/18 08:42:38
2	106	この美術部には問題がある！	0	2016/10/18 08:45:56
5	60	空想科学読本	0	2016/10/19 23:18:09
7	59	音楽	0	2016/10/19 23:22:25
8	60	コミック版 日本の歴史	0	2016/10/19 23:24:33
10	106	氷菓	0	2016/10/22 15:26:40
12	106	日常	0	2016/10/23 17:45:58
13	-1	マンガ	0	2016/10/24 14:30:48
14	112	響け！ユーフォニアム	0	2016/11/07 19:39:49
15	-1	小説	0	2016/11/12 17:35:28
16	46	古典部シリーズ	0	2016/11/12 17:35:56
17	75	アガサ・クリスティ	0	2016/11/16 22:48:38
18	108	男子高校生の日常	0	2016/11/23 15:39:31
19	108	WORKING！！	0	2016/11/23 15:40:12
20	106	俺んちのメイドさん	0	2016/11/28 19:27:04
21	97	ご注文はうさぎですか？	0	2016/11/28 21:05:35
22	106	涼宮ハルヒの憂鬱	0	2016/12/10 22:03:17
23	98	1518! イチゴーイチハチ！	0	2016/12/12 22:01:35
24	97	ハナヤマタ	0	2016/12/16 22:37:56
25	97	きんいろモザイク	0	2016/12/24 21:13:46
26	106	くまみこ	0	2016/12/25 21:08:57
27	76	森博嗣	0	2017/01/01 21:15:33
28	97	NEW GAME!	0	2017/02/02 21:39:42
29	106	魔法科高校の劣等生 追憶編	0	2017/02/19 15:12:21
31	111	本好きの下剋上	0	2017/03/04 17:09:45
33	115	私、能力は平均値でって言ったよね！	0	2017/03/16 13:02:44
34	116	リライフ	0	2017/03/28 17:30:44
35	106	勇者になれなかった俺はしぶしぶ就職を決意しました	0	2017/03/28 17:31:33
36	106	坂本ですが？	0	2017/05/01 21:18:55
37	15	ラノベ	0	2017/05/01 21:20:12
38	90	エロマンガ先生	0	2017/05/01 21:20:51
39	106	エロマンガ先生	0	2017/05/04 00:32:13
40	116	理系の人々	0	2017/05/19 00:12:28
41	106	涼宮ハルヒちゃんの憂鬱	0	2017/05/19 00:13:05
42	97	けいおん！	0	2017/05/19 00:13:38
43	93	涼宮ハルヒシリーズ	0	2017/06/07 21:11:18
44	46	小市民シリーズ	0	2017/06/09 00:06:19
45	90	俺の妹がこんなに可愛いわけがない！	0	2017/06/09 00:07:43
46	76	米澤穂信	0	2017/06/10 00:15:19
47	76	武田綾乃	0	2017/06/11 23:13:47
48	15	小説	0	2017/06/11 23:26:30
50	91	ハイスクール・フリート	0	2017/06/18 00:08:04
51	114	理系恋	0	2017/06/18 00:08:53
53	95	冴えない彼女の育てかた	0	2017/06/23 00:22:42
54	99	虚構推理	0	2017/06/27 22:16:38
55	74	世界短編傑作集	0	2017/07/07 22:03:49
59	101	雑用書	0	2017/07/08 23:24:17
60	101	別枠シリーズ本	0	2017/07/08 23:24:34
61	59	文庫本	0	2017/07/08 23:25:11
63	75	O.ヘンリー	0	2017/07/08 23:29:39
64	109	買い食いハラペコラ	0	2017/07/14 21:27:35
65	106	ハイスクール・フリート	0	2017/07/16 19:10:58
66	90	魔法科高校の劣等生	0	2017/07/18 23:07:23
67	92	妹さえいればいい。	0	2017/07/19 00:13:35
68	92	やはり俺の青春ラブコメはまちがっている。	0	2017/07/19 00:14:16
69	71	天久鷹央の推理カルテ	0	2017/07/21 22:27:04
70	95	おまえをオタクにしてやるから俺をリア充にしてくれ！	0	2017/07/21 22:56:40
71	76	知念実希人	0	2017/08/07 22:13:58
72	98	やはり俺の青春ラブコメは間違っている	0	2017/08/07 22:14:47
73	74	5分で読める!ひと駅ストーリー	0	2017/08/11 21:01:01
74	48	短編集	0	2017/08/11 21:01:09
75	48	外国人作家	0	2017/08/11 21:02:58
76	48	日本人作家	0	2017/08/11 21:03:05
77	76	岡崎琢磨	0	2017/08/11 21:04:11
78	108	小市民シリーズ	0	2017/08/11 21:23:56
79	108	俺の彼女と幼なじみが修羅場すぎる	0	2017/08/11 21:24:46
80	106	ノーゲーム・ノーライフ	0	2017/08/11 21:27:09
81	99	アホガール	0	2017/08/11 21:28:12
82	106	ゲームやるから100円貸して!	0	2017/08/13 20:45:08
83	91	ノーゲーム・ノーライフ	0	2017/08/18 17:58:05
84	106	二度目の人生を異世界で	0	2017/08/18 17:58:45
85	75	コナン・ドイル	0	2017/08/23 00:52:41
86	132	天久鷹央の推理カルテ	0	2017/08/23 00:54:04
87	76	西尾維新	0	2017/09/03 00:00:08
88	91	二人で始める世界征服	0	2017/09/05 00:21:11
89	91	この中に1人、妹がいる！	0	2017/09/05 00:26:00
90	96	電撃文庫	0	2017/09/05 01:04:35
91	96	MF文庫J	0	2017/09/05 01:04:46
92	37	ガガガ文庫	0	2017/09/05 01:04:53
93	96	角川スニーカー文庫	0	2017/09/05 01:05:02
94	96	ファミ通文庫	0	2017/09/05 01:05:13
95	96	富士見ファンタジア文庫	0	2017/09/05 01:05:31
96	37	KADOKAWA	0	2017/09/05 01:11:12
97	13	芳文社	0	2017/09/14 21:05:18
98	13	小学館	0	2017/09/14 21:06:59
99	13	講談社	0	2017/09/14 21:07:06
101	-1	その他	0	2017/09/17 12:52:40
102	59	池上彰	0	2017/09/17 21:46:39
103	59	単行本	0	2017/09/17 21:47:39
104	59	英語	0	2017/09/17 21:50:39
105	94	俺たちは異世界に行ったらまず真っ先に物理法則を確認する	0	2017/09/22 22:56:09
106	13	角川書店	0	2017/09/24 00:46:24
108	13	スクウェア・エニックス	0	2017/09/24 00:48:32
109	116	双葉社	0	2017/09/24 00:58:36
111	116	TOブックス	0	2017/09/24 01:00:44
112	116	宝島社	0	2017/09/24 01:02:05
113	116	オーバーラップ	0	2017/09/24 01:03:15
114	116	フレックスコミックス	0	2017/09/24 01:04:15
115	116	泰文堂（東京）	0	2017/09/24 01:05:22
116	13	その他	0	2017/09/24 01:06:06
117	76	海堂尊	0	2017/10/22 01:30:00
118	76	望月舞衣	0	2017/10/29 23:37:41
119	118	京都寺町三条のホームズ	0	2018/01/02 23:38:24
120	96	メディアワークス文庫	0	2018/01/18 18:08:31
121	76	似鳥鶏	0	2018/01/18 18:09:41
122	76	及川早月	0	2018/01/18 18:11:03
123	85	シャーロック・ホームズ	0	2018/01/18 18:12:32
124	75	ドナルド・J・ソボル	0	2018/01/18 18:14:02
125	76	有川浩	0	2018/01/18 18:15:40
126	76	北村薫	0	2018/01/18 18:19:03
128	76	森見登美彦	0	2018/03/04 12:15:23
129	121	市立高校シリーズ	0	2018/03/04 12:24:26
130	121	楓ヶ丘動物園シリーズ	0	2018/03/04 12:24:49
131	-1	専門書	0	2018/03/04 15:05:32
132	13	新潮社	0	2018/04/03 23:49:41
133	106	冴えない彼女の育て方	0	2018/04/03 23:50:39
134	133	冴えない彼女の育て方 ~egostic lily~	0	2018/04/03 23:51:20
135	116	その他	0	2018/04/22 23:39:46
136	99	老後に備えて異世界で8万枚の金貨を貯めます	0	2018/05/18 00:47:26
137	13	集英社	0	2018/06/09 23:38:11
138	137	ラジエーションハウス	0	2018/06/09 23:39:34
139	76	喜多喜久	0	2018/06/09 23:44:40